Address;City;ContactName;Country;Customer;CustomerID;Phone;PostalCode;WorldMap.Name
Adenauerallee 900;Stuttgart;Ralf Schumaker;Allemagne;Autokleider;86;0711-020361;70563;DEU
Berliner Platz 43;München;Dieter Köln;Allemagne;Halle Köln;25;089-0877310;80805;DEU
Forsterstr. 57;Mannheim;Herman Hinschler;Allemagne;Man Kleider;6;0621-08460;68306;DEU
Heerstr. 22;Leipzig;Helmuth Klein;Allemagne;Kohl Industries AG;52;0342-023176;4179;DEU
Luisenstr. 48;Münster;Heinz Disco;Allemagne;Boombastic;79;0251-031259;44087;DEU
Magazinweg 7;Frankfurt a.M.;Klaus Deum;Allemagne;Warp AG;44;069-0245984;60528;DEU
Maubelstr. 90;Brandenburg;Dieter Rummernige;Allemagne;Noch Einmal GMBH;39;0555-09876;14776;DEU
Mehrheimerstr. 369;Köln;Herman Schlusse;Allemagne;Casual Clothing;56;0221-0644327;50739;DEU
Obere Str. 57;Berlin;Albert von Einstein;Allemagne;Eintrach GS;1;030-0074321;12209;DEU
Taucherstraße 10;Cunewalde;George Essen;Allemagne;Grunewald;63;0372-035188;1307;DEU
Walserweg 21;Aachen;Lars von Holstein;Allemagne;Gluderstedt;17;0241-039123;52066;DEU
Av. del Libertador 900;Buenos Aires;Emerson Fittipaldi;Italie;Ropa total;64;(1) 123-5555;1010;ITA
Piso 20-A;Buenos Aires;Don Gerardo;Italie;Los Espandrilos Fantasticos;54;(1) 135-5333;1010;ITA
Plaza de Mayo 6;Buenos Aires;Victoria Abril;Italie;Los Pantalones Magicos;12;(1) 135-5555;1010;ITA
Geislweg 14;Salzburg;Herbert Bernstorf;Autriche;Extrawagens;59;6562-9722;5020;AUT
Kirchgasse 6;Graz;Lars Saalbach;Autriche;Ski Store;20;7675-3425;8010;AUT
Boulevard Tirou, 255;Charleroi;Cheril Cow;Belgique;Belgique Black Jeans;76;(071) 23 67 22 20;;BEL
Rue Joseph-Bens 532;Bruxelles;Marco Van Deum;Belgique;De la Vita;50;(02) 201 24 67;;BEL
Alameda dos Canàrios, 891;São Paulo;Jorge Alemaio;Belgique;Roba di Piel;62;(11) 555-1189;;BEL
Av. Brasil, 442;Campinas;Anna Figo;Belgique;Paintho da Gama;31;(11) 555-9482;;BEL
Av. Copacabana, 267;Rio de Janeiro;Thomá Lindao;Suède;Da Bikini Expertu;67;(21) 555-3412;;SWE
Av. dos Lusíadas, 23;São Paulo;Edson Arantes do Nascimento;Suède;Tendha do Flamengo;15;(11) 555-7647;;SWE
Av. Inês de Castro, 414;São Paulo;Mercedes Couto;Suède;Merced do Vaile;81;(11) 555-2167;;SWE
Rua da Panificadora, 12;Rio de Janeiro;Giovanni Santhos;Danemark;Copacabana;61;(21) 555-4252;;DNK
Rua do Mercado, 12;Resende;Mariah Erdi;Danemark;Da Santho Cosmethia;88;(14) 555-8122;;DNK
Rua do Paço, 67;Rio de Janeiro;Joe do Pintho;Danemark;El Carnevale;34;(21) 555-0091;;DNK
Rua Orós, 92;São Paulo;Romario do Sauza;Norvège;Cloe do Pau;21;(11) 555-9857;;NOR
23 Tsawassen Blvd.;Tsawassen;James Hendersson;France;Big Foot Shoes;10;(604) 555-4729;;FRA
43 rue St. Laurent;Montréal;James Belucci;France;Davenport Fashion;51;(514) 555-8054;;FRA
1900 Oak St.;Vancouver;Joe Barry;France;Millenium;42;(604) 555-3392;;FRA
Vinbæltet 34;København;Preben Elkjaer;Danemark;Vite;73;;1734;DNK
C/ de Don Quijote, 67;Madrid;Julio Iglesias;Espagne;Las Corbatas;8;(91) 555 22 82;28023;ESP
C/ Moralzarzal, 86;Madrid;Filemón;Espagne;La Camisas Cansadas;22;(91) 555 94 44;28023;ESP
Finca La Campana, 33;Sevilla;El Cordobes;Espagne;Los Trajes de Matador;30;(95) 555 82 82;41101;ESP
Gran Vía, 1;Madrid;Emilio Ilegal;Espagne;La Moda Alucinante;69;(91) 745 6200;28001;ESP
Rambla de Cataluña, 23;Barcelona;Jusep del pep;Espagne;El Chandal del Barca;29;(93) 203 4560;8022;ESP
Keskuskatu 45;Helsinki;Reijoo Haajanen;Finlande;Leningrad Cowboys Shop;90;90-224 8858;21240;FIN
Torikatu 38;Oulu;Miiko Heikillä;Finlande;Perkii Urkii;87;981-443655;90110;FIN
1 rue Alsace-Lorraine;Toulouse;Louise Davu;France;Design;41;61.77.61.10;31000;FRA
2, rue du Commerce;Lyon;Pierre Robert;France;Art et Fashion;84;78.32.54.86;69004;FRA
12, rue des Bouchers;Marseille;Bernard de Gaule;France;La Legion Mercenaire;9;91.24.45.40;13008;FRA
24, place Kléber;Strasbourg;Julie Binoché;France;Menàge à Trois;7;88.60.15.31;67000;FRA
25, rue Lauriston;Paris;André Millard;France;Chateau de Ville;74;(1) 47.55.60.10;75016;FRA
54, rue Royale;Nantes;Jeanne d´Anjou;France;Le Sais de Rión;26;40.32.21.21;44000;FRA
59 rue de l'Abbaye;Reims;Henry Renault;France;Pour l´homme;85;26.47.15.10;51100;FRA
67, avenue de l'Europe;Versailles;Philippe de Laval;France;La Boheme;40;30.59.84.10;78000;FRA
